SensorID,NodeID,Latitude,Longitude,TransformedX,TransformedY,Distance
615,492500452,40.744961,-111.693194,-1.4418113685113084E7,3989648.210111081,150999.2176082115
616,492500452,40.7425,-111.6838,-1.4417111227844676E7,3989487.5103999744,151809.60279979865
4547,492500452,40.638103,-111.90518,-1.4439894786319582E7,3978858.4378492525,134734.06107641375
617,492500452,40.740547,-111.675403,-1.4416216439045487E7,3989365.7539522885,152532.06797619208
618,492500452,40.743327,-111.658624,-1.4414462985368142E7,3989715.3447576473,153916.88128818694
619,492500452,40.739875,-111.666742,-1.4415300454679687E7,3989359.267836331,153265.39772495598
4561,492500452,40.507478,-111.891063,-1.443772980626942E7,3967326.1206869325,139131.27300362146
4562,492500452,40.507783,-111.891204,-1.443774624445429E7,3967352.410623683,139110.59017049684
4563,492500452,40.501513,-111.891193,-1.443771252291881E7,3966794.1903418032,139302.29269539166
4564,492500452,40.499907,-111.891054,-1.4437689538279062E7,3966652.0359202703,139362.9769401036
2385,492500452,40.562471,-111.899364,-1.4438889799562288E7,3972169.5167242526,136914.24153045224
1054,492500452,40.669311,-111.952199,-1.4445010221744765E7,3981341.985662982,130257.92119327327
1053,492500452,40.666679,-111.952211,-1.4444997844506947E7,3981108.1325596916,130301.5029345696
56000,1897559077,37.691205,-112.152213,-1.445028385751287E7,3709756.4397866842,124326.88300916477
2381,492500452,40.557377,-111.897249,-1.4438640546812208E7,3971729.315277584,137219.99244819072
56001,1897559077,37.691199,-112.152256,-1.445028835031952E7,3709755.619123472,124324.29577912488
620,492500452,40.743361,-111.658733,-1.4414474645133512E7,3989717.6925991634,153907.43274414656
621,492500452,40.751391,-111.629833,-1.4411471242294205E7,3990607.3558127936,156268.93827793485
2377,492500452,40.540371,-111.893469,-1.4438154057117242E7,3970239.3171402216,137985.83571732632
622,492500452,40.752789,-111.614883,-1.4409903339088855E7,3990823.0615874864,157514.19785419246
1046,492500452,40.64532,-111.939435,-1.4443541113228206E7,3979289.179466082,131749.0966390549
623,492500452,40.749884,-111.602144,-1.4408546166436082E7,3990643.478673385,158607.37860719324
1045,492500452,40.645271,-111.936989,-1.4443283162114603E7,3979299.8613077793,131953.39474999168
4554,492500452,40.540331,-111.893754,-1.4438183874420324E7,3970234.006143335,137963.59973347318
5401,492500452,40.640919,-111.938722,-1.4443443179016735E7,3978902.5098419106,131892.37395631048
624,492500452,40.753611,-111.572309,-1.4405422008773332E7,3991157.0352033237,161085.55878426423
4555,492500452,40.535245,-111.89269,-1.4438045380528187E7,3969787.90676973,138191.61667969736
625,492500452,40.742929,-111.561512,-1.440422930231163E7,3990275.5750051024,162077.71781941145
4556,492500452,40.535259,-111.892549,-1.4438030598790234E7,3969790.019179014,138202.75731774478
626,492500452,40.734492,-111.553514,-1.4403343084960299E7,3989576.007944551,162822.5027017273
627,492500452,40.729752,-111.548697,-1.4402811100190977E7,3989184.9238354103,163270.2738816435
628,492500452,40.725417,-111.539646,-1.440183511822971E7,3988855.7024389966,164071.14207321047
629,492500452,40.721486,-111.522128,-1.4399969153358323E7,3988614.199312287,165579.9126123412
4570,492500452,40.475422,-111.905592,-1.4439093896869425E7,3964381.973293571,138967.47177678518
99537,492500452,40.671862,-111.901491,-1.4439681074872736E7,3981880.2417702023,134445.37661100383
99536,492500452,40.678056,-111.901976,-1.4439764260332773E7,3982427.3670338313,134306.75468860727
99539,492500452,40.664593,-111.901432,-1.4439637198176216E7,3981234.9591672416,134569.85651605346
2397,492500452,40.624974,-111.902146,-1.4439507081860883E7,3977710.2958608675,135245.26022623578
147032,492500452,41.035075,-111.993903,-1.4451294974710418E7,4013482.685042948,127004.3916117383
99532,492500452,40.68977,-111.903269,-1.443996116210655E7,3983459.6318100276,134022.52372808786
2395,492500452,40.617087,-111.904831,-1.4439749064110314E7,3976992.758686799,135185.65268827957
3242,492500452,40.711838,-111.789999,-1.4428141626333255E7,3986114.608291324,143214.08813174412
99534,492500452,40.682777,-111.9025,-1.44398439219854E7,3982843.3968941327,134190.49859786232
1062,492500452,40.699799,-111.952303,-1.4445179156750854E7,3984048.67113017,129779.78195089124
99530,492500452,40.696745,-111.90187,-1.44398498926242E7,3984087.526420001,134040.4884466949
3238,492500452,40.711765,-111.789622,-1.4428101528939577E7,3986110.4435344976,143246.54739507032
630,492500452,40.746908,-111.642671,-1.4412800690665554E7,3990130.9084658395,155226.63411818715
631,492500452,40.729717,-111.501347,-1.4397822182107525E7,3989472.010897247,167246.7232256309
632,492500452,40.687852,-111.544915,-1.4402196247104857E7,3985488.7271961137,164042.49990132227
2388,492500452,40.58563,-111.899587,-1.4439033448914142E7,3974228.095895327,136323.44488729571
633,492500452,40.68776,-111.544971,-1.4402201671832183E7,3985480.2146933726,164038.95008456465
634,492500452,40.72751,-111.494261,-1.4397064219328105E7,3989319.577642667,167862.08839416728
635,492500452,40.727345,-111.494552,-1.4397094027162557E7,3989303.1519921785,167839.18439453372
636,1897559077,37.12736,-113.60142,-1.459969674961122E7,3648328.7829041476,140972.2455534792
637,1897559077,37.127252,-113.601927,-1.4599749497160414E7,3648315.544620408,140992.93830198987
638,1897559077,37.11553,-113.59612,-1.4599073856738163E7,3647256.615883551,142170.1217301839
4569,492500452,40.475775,-111.905558,-1.4439092149299672E7,3964413.627462807,138958.55253360284
639,1897559077,37.115499,-113.596637,-1.4599128080924792E7,3647250.5075265914,142182.37985907533
99526,492500452,40.707647,-111.903855,-1.4440115480612364E7,3985043.1644024905,133728.4456503333
99528,492500452,40.702373,-111.903155,-1.4440014421001742E7,3984579.2811822277,133856.30696773442
7610,492500452,40.887693,-111.896698,-1.4440292399131637E7,4001047.797269273,133503.67554833836
99522,492500452,40.720596,-111.904654,-1.4440266704617184E7,3986187.6079792646,133502.15009500997
99524,492500452,40.71535,-111.904455,-1.4440218578800863E7,3985723.2228872827,133581.554825151
147040,492500452,41.053164,-112.022853,-1.4454438674444553E7,4014902.1379514653,124966.2190814615
99520,492500452,40.728971,-111.904585,-1.444030278972761E7,3986931.277425651,133413.01281626
1071,492500452,40.743673,-111.948762,-1.4445033295069749E7,3987964.2452020124,129554.45839680347
640,492500452,40.102481,-111.684751,-1.4413888468620488E7,3932423.307933665,172604.0764312956
642,492500452,40.088792,-111.698807,-1.4415297623017829E7,3931110.7211573687,172299.95705709344
643,492500452,40.088902,-111.699038,-1.4415322529195106E7,3931119.1595203993,172276.83166223887
644,492500452,40.058137,-111.729751,-1.4418397033448953E7,3928173.6666399655,171733.20206788759
645,492500452,40.058246,-111.72999,-1.4418422777168019E7,3928181.9704398047,171709.522575715
1067,492500452,40.728676,-111.949915,-1.4445077125972023E7,3986626.46855736,129615.65005994786
646,492500452,40.031048,-111.757279,-1.442115511722843E7,3925576.0732235806,171305.61470461817
647,492500452,40.031192,-111.757526,-1.4421181886558114E7,3925587.4700886775,171279.29181912652
4590,492500452,40.863694,-111.900099,-1.444052679441534E7,3998901.9639303098,133154.4619319281
7620,492500452,40.887694,-111.896402,-1.4440261216624988E7,4001049.7049186225,133528.54511150942
99559,492500452,40.598137,-111.903577,-1.4439518679299444E7,3975315.7513157176,135703.74539900754
9800,1897559077,37.106253,-113.396605,-1.4578031086201496E7,3647628.6285530315,140839.16974095715
99555,492500452,40.61616,-111.905665,-1.4439832122253919E7,3976905.2313951305,135136.08201180637
99557,492500452,40.605005,-111.904895,-1.4439693154165274E7,3975918.293820991,135440.95613413613
99551,492500452,40.625185,-111.902941,-1.4439591932062302E7,3977724.163895678,135175.01136665227
27902,492500452,41.006468,-111.910397,-1.4442348588576574E7,4011468.7920512026,133457.82501084358
1084,492500452,40.789464,-111.948875,-1.4445282172727479E7,3992024.7272220715,129195.02958050322
23103930,492500452,41.424841,-112.055383,-1.445977743524368E7,4047428.284276552,136283.60966651863
650,492500452,40.74699,-111.642152,-1.4412746432823522E7,3990141.3667535167,155269.5553634042
79951,492500452,40.976972,-111.428076,-1.4391375452324063E7,4011821.134932119,173378.0408664223
651,492500452,40.747244,-111.64223,-1.441275596275197E7,3990163.4222333534,155260.9009705177
147049,492500452,41.070694,-112.068126,-1.4459299461771643E7,4016171.3183981646,121624.61368677512
79950,492500452,40.977117,-111.42822,-1.4391391370509319E7,4011833.0719245267,173367.25282262926
655,492500452,40.432286,-111.847302,-1.4432729026788035E7,3960896.2854054496,145137.07605317203
1079,492500452,40.771813,-111.949022,-1.4445206334665388E7,3990458.700979257,129293.93901378008
656,492500452,40.432212,-111.847298,-1.443272822079404E7,3960889.713756396,145140.01614148048
657,492500452,40.432739,-111.847257,-1.4432726640598858E7,3960936.941213718,145124.6555504455
950001,492500452,40.369679,-111.975593,-1.4445918183101762E7,3954524.6253224923,137416.31689995746
658,492500452,40.432632,-111.847274,-1.4432727875374716E7,3960927.2990780254,145127.07713913685
950000,492500452,40.369743,-111.975798,-1.4445940111869045E7,3954529.075131705,137397.54628871114
659,492500452,40.432089,-111.832088,-1.4431125258592928E7,3960972.171583536,146365.21461400564
85395,352868238,40.27293,-110.031218,-1.4240588114833428E7,3957755.3183913166,198026.03383825743
85394,352868238,40.272853,-110.031149,-1.4240580450169297E7,3957748.856257836,198015.89822976626
172000,492500452,40.659026,-112.332625,-1.4485036494289864E7,3978086.418166243,98876.74728552205
4120,492500452,40.766388,-111.946931,-1.44449579551368E7,3989990.4343061596,129509.77817539955
9810,1897559077,37.102976,-113.350839,-1.4573197840055624E7,3647606.3369520167,140969.18265941108
47500,492500452,40.960729,-111.896168,-1.4440613473167041E7,4007513.0640430376,134067.50147046012
9811,1897559077,37.102901,-113.350768,-1.4573189956798932E7,3647599.769420094,140977.24292497738
99547,492500452,40.638476,-111.90404,-1.4439776615834069E7,3978898.5892163734,134821.66552943172
99549,492500452,40.631783,-111.90462,-1.4439803026725257E7,3978300.243558676,134903.5529614091
99544,492500452,40.648977,-111.90239,-1.4439657207450781E7,3979841.7916949876,134762.9818326808
